40 17
       #######     ################
     ###.....#######...........A...#
   ##.....s........................#
  #..............s....#####...#####
  #....s..............#   #...#
  #...................#  #..c..#
   #.....#######...j..##  #...#
    #....#      #....##  #..k..#
    #...#        #...#    #...#
    #...#         ###      ###
     #.#                ####
    #.+.#####       ####....#######
   #.........########....e........#####
  ##.............d............+........#
   ##.........######................###
    ##......##     #.......#########
      ######        #######
